Name,Status,Type,Genre,Author
12 Rules for Life,Reading Book,"Audio Book, Book",Self Help,Jordan B. Peterson
Charisma University,Not started,Video,Self Help,
Cleaning Up Your Mental Mess,Not started,"Audio Book, Book",Self Help,Dr. Caroline Leaf
Never Finished,Not started,"Audio Book, Book",Self Help,David Goggins
Can’t Hurt Me,Not started,"Audio Book, Book",Self Help,David Goggins
Lex Fridman Podcast,Not started,Podcast,Education,Lex Fridman
TechCrunch Daily Crunch,Not started,Podcast,General,TechCrunch
Soft Robotics Podcast,Not started,Podcast,Education,Marwa ElDiwiny
The MindSet Mentor,Not started,Podcast,Finance,"Rob Dial, Kast Media"
The Personal Finance Podcast,Not started,Podcast,Finance,Andrew Giancola
Business Unusual with Barbara Corcoran,Not started,Podcast,Finance,Barbara Corcoran
Daily Tech News Show,Not started,Podcast,General,Tom Merritt
The School of Greatness,Not started,Podcast,Self Help,Lewis Howes
Elon Musk,Not started,Book,Self Help,Ashlee Vance
Rework,Not started,"Audio Book, Book",Self Help,Jason Fried
Investonomy,Not started,Book,Finance,Pranjal Kamra
Mind Maps at Work,Not started,"Audio Book, Book",Self Help,Tony Buzan
Tools of Titans,Not started,Book,Self Help,
Sapiens,Not started,"Audio Book, Book",Self Help,Yuval Noah Harari
Harry Potter and The Chamber of Secrets,Not started,Book,Supernatural,J K Rowline
Thank You for being Late,Not started,Book,Self Help,Thomas L. Friedman
Rich Dad Poor Dad,Not started,"Audio Book, Book",Finance,Robert Kiyosaki
The 4 Hour Work Week,Not started,"Audio Book, Book",Finance,Ferriss Timothy
One Bossy Dare: An Enimies to Lovers Romance,Not started,Book,Romance,Nicole Snow
Harry Potter and the Philosopher’s Stone,Not started,Book,Supernatural,J K Rowline
48 Laws of Power,Not started,"Audio Book, Book",Self Help,Robert Greene
The 6 Types of Working Genius,Not started,"Audio Book, Book",Self Help,Patrick M. Lencioni
You Owe you,Not started,"Audio Book, Book",Self Help,"Eric Thomas, Chris Paul"
The Subtle Art of Not Giving a Fuck,Not started,"Audio Book, Book",Self Help,Mark Manson
How to talk to anyone,Not started,"Audio Book, Book",Self Help,Lelli Lowndes
Make Time,Next,"Book, Podcast",Self Help,"Jake Knapp, John Zeratsky"
Hell Yeah or No,Next,"Book, Podcast",Self Help,Derek Sivers
The War of Art,Next,"Book, Podcast",Self Help,Steven Pressfield
Man Whisperer Podcast,Next,Podcast,Self Help,
How to Not Die Alone,Next,"Audio Book, Book",Self Help,Logan Ury
