Name,Status,Type,Genre,Author,Score,Completed,Link,Tagline
12 Rules for Life,Reading Book,"Audio Book, Book",Self Help,Jordan B. Peterson,,,https://www.audible.com/pd/12-Rules-for-Life-Audiobook/B0797YBP7N?action_code=ASSGB149080119000H&share_location=pdp,An Antidote to Chaos
Charisma University,Not started,Video,Self Help,,,,,
Cleaning Up Your Mental Mess,Not started,"Audio Book, Book",Self Help,Dr. Caroline Leaf,⭐️⭐️⭐️⭐️⭐️,,https://a.co/d/6Vozt0F,"5 Simple, Scientifically Proven Steps to Reduce Anxiety, Stress, and Toxic Thinking"
Never Finished,Not started,"Audio Book, Book",Self Help,David Goggins,⭐️⭐️⭐️⭐️⭐️,,https://www.audible.com/pd/Never-Finished-Audiobook/B0BJ34FWZ3,Unshackle your Mind and Win the War Within
Can’t Hurt Me,Not started,"Audio Book, Book",Self Help,David Goggins,⭐️⭐️⭐️⭐️⭐️,,https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?action_code=ASSGB149080119000H&share_location=pdp,Master Your Mind and Defy the Odds
Lex Fridman Podcast,Not started,Podcast,Education,Lex Fridman,,,,
TechCrunch Daily Crunch,Not started,Podcast,General,TechCrunch,,,,
Soft Robotics Podcast,Not started,Podcast,Education,Marwa ElDiwiny,,,,
The MindSet Mentor,Not started,Podcast,Finance,"Rob Dial, Kast Media",,,,
The Personal Finance Podcast,Not started,Podcast,Finance,Andrew Giancola,,,,
Business Unusual with Barbara Corcoran,Not started,Podcast,Finance,Barbara Corcoran,,,,
Daily Tech News Show,Not started,Podcast,General,Tom Merritt,,,,
The School of Greatness,Not started,Podcast,Self Help,Lewis Howes,,,,
Elon Musk,Not started,Book,Self Help,Ashlee Vance,,,,How the Billionaire CEO of SpaceX and Tesla is Shaping our Future
Rework,Not started,"Audio Book, Book",Self Help,Jason Fried,,,,Change the Way you work Forever
Investonomy,Not started,Book,Finance,Pranjal Kamra,,,,The Stock market Guide That makes you Rich
Mind Maps at Work,Not started,"Audio Book, Book",Self Help,Tony Buzan,,,,How to be the best at work and still have time to play
Tools of Titans,Not started,Book,Self Help,,,,,"The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers"
Sapiens,Not started,"Audio Book, Book",Self Help,Yuval Noah Harari,,,,A Brief History of Humankind
Harry Potter and The Chamber of Secrets,Not started,Book,Supernatural,J K Rowline,,,,
Thank You for being Late,Not started,Book,Self Help,Thomas L. Friedman,,,,An Optimist's Guide to Thriving in the Age of Accelerations
Rich Dad Poor Dad,Not started,"Audio Book, Book",Finance,Robert Kiyosaki,,,,What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not
The 4 Hour Work Week,Not started,"Audio Book, Book",Finance,Ferriss Timothy,,,,"Escape the 9-5, Live Anywhere and Join the new Rich"
One Bossy Dare: An Enimies to Lovers Romance,Not started,Book,Romance,Nicole Snow,,,,
Harry Potter and the Philosopher’s Stone,Not started,Book,Supernatural,J K Rowline,,,,
48 Laws of Power,Not started,"Audio Book, Book",Self Help,Robert Greene,,,https://www.audible.com/pd/48-Laws-of-Power-Audiobook/B00WYDJ2YQ?action_code=ASSGB149080119000H&share_location=pdp,
The 6 Types of Working Genius,Not started,"Audio Book, Book",Self Help,Patrick M. Lencioni,,,https://www.audible.com/pd/The-6-Types-of-Working-Genius-Audiobook/B0B75NWHRN?action_code=ASSGB149080119000H&share_location=pdp,"A Better Way to Understand Your Gifts, Your Frustration, and Your Team"
You Owe you,Not started,"Audio Book, Book",Self Help,"Eric Thomas, Chris Paul",,,https://www.audible.com/pd/You-Owe-You-Audiobook/B09RY3CC73?action_code=ASSGB149080119000H&share_location=pdp,"Ignite Your Power, Your Purpose, and Your Why"
The Subtle Art of Not Giving a Fuck,Not started,"Audio Book, Book",Self Help,Mark Manson,,,https://www.audible.com/pd/The-Subtle-Art-of-Not-Giving-a-F-ck-Audiobook/B01I28NFEE?action_code=ASSGB149080119000H&share_location=pdp,A Counterintuititve Approach to Living a Good Life
How to talk to anyone,Not started,"Audio Book, Book",Self Help,Lelli Lowndes,,,https://www.audible.com/pd/How-to-Talk-to-Anyone-Audiobook/B013F5WEZK?action_code=ASSGB149080119000H&share_location=pdp,92 little tricks for big success in relationships
Make Time,Next,"Book, Podcast",Self Help,"Jake Knapp, John Zeratsky",,,https://www.amazon.com/Make-Time-Focus-Matters-Every/dp/0525572422/ref=asc_df_0525572422/?tag=hyprod-20&linkCode=df0&hvadid=312143020546&hvpos=&hvnetw=g&hvrand=6561748970673752169&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9001840&hvtargid=pla-600047253317&psc=1,How to Focus on What Matters Every Day
Hell Yeah or No,Next,"Book, Podcast",Self Help,Derek Sivers,,,https://www.amazon.com/Hell-Yeah-No-whats-worth-ebook/dp/B09YY9W9B3,What’s Worth Doing
The War of Art,Next,"Book, Podcast",Self Help,Steven Pressfield,,,https://www.amazon.com/dp/B007A4SDCG/?coliid=I10V4MBLJJD02P&colid=1976ZKA0BV3K&psc=0&ref_=lv_ov_lig_dp_it_im,
Man Whisperer Podcast,Next,Podcast,Self Help,,,,https://open.spotify.com/show/4iVwiVaAivFnlRWJk2Ml89,
How to Not Die Alone,Next,"Audio Book, Book",Self Help,Logan Ury,,,https://www.audible.com/pd/How-to-Not-Die-Alone-Audiobook/1797119710?action_code=ASSGB149080119000H&share_location=pdp,The Surprising Science That Will Help You Find Love
